time,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
135.7127022743225,-60655.7890625,-47010.94921875,-68146.859375,-400000.0625,-44446.328125,-400000.0625,-400000.0625,-400000.0625
135.73420119285583,-60621.7890625,-46991.44921875,-68102.609375,-400000.0625,-44417.76953125,-400000.0625,-400000.0625,-400000.0625
135.7525975704193,-60588.55859375,-46962.359375,-68065.21875,-400000.0625,-44394.0703125,-400000.0625,-400000.0625,-400000.0625
135.7995309829712,-58257.96875,-44737.44140625,-65810.15625,-400000.0625,-41507.6796875,-400000.0625,-400000.0625,-400000.0625
135.79967856407166,-58450.421875,-44869.94921875,-65960.9921875,-400000.0625,-41686.921875,-400000.0625,-400000.0625,-400000.0625
135.7997179031372,-58489.94921875,-44903.19140625,-66001.7109375,-400000.0625,-41725.73828125,-400000.0625,-400000.0625,-400000.0625
135.79975509643555,-58511.0703125,-44920.5,-66028.4609375,-400000.0625,-41744.76171875,-400000.0625,-400000.0625,-400000.0625
135.7997920513153,-58486.328125,-44901.8984375,-66010.1015625,-400000.0625,-41723.26171875,-400000.0625,-400000.0625,-400000.0625
135.7998285293579,-58457.0,-44885.26171875,-65975.8203125,-400000.0625,-41691.73828125,-400000.0625,-400000.0625,-400000.0625
135.7998652458191,-58461.859375,-44887.44921875,-65978.203125,-400000.0625,-41689.73046875,-400000.0625,-400000.0625,-400000.0625
135.79990100860596,-58498.33984375,-44896.8515625,-66009.53125,-400000.0625,-41723.828125,-400000.0625,-400000.0625,-400000.0625
135.7999370098114,-58511.69140625,-44921.171875,-66022.453125,-400000.0625,-41743.62109375,-400000.0625,-400000.0625,-400000.0625
135.79997301101685,-58487.23046875,-44899.8515625,-66008.53125,-400000.0625,-41727.171875,-400000.0625,-400000.0625,-400000.0625
135.80000925064087,-58459.1484375,-44880.96875,-65975.1015625,-400000.0625,-41695.4609375,-400000.0625,-400000.0625,-400000.0625
135.80004596710205,-58454.46875,-44885.26171875,-65977.8671875,-400000.0625,-41699.21875,-400000.0625,-400000.0625,-400000.0625
135.80008244514465,-58494.19140625,-44908.1484375,-66022.0234375,-400000.0625,-41728.6015625,-400000.0625,-400000.0625,-400000.0625
135.8001194000244,-58518.8515625,-44934.55859375,-66047.2890625,-400000.0625,-41746.91015625,-400000.0625,-400000.0625,-400000.0625
135.80015563964844,-58498.1015625,-44914.921875,-66015.7265625,-400000.0625,-41726.69140625,-400000.0625,-400000.0625,-400000.0625
135.80019164085388,-58453.66015625,-44878.76953125,-65979.578125,-400000.0625,-41695.98046875,-400000.0625,-400000.0625,-400000.0625
135.80022716522217,-58456.28125,-44881.44140625,-65980.4375,-400000.0625,-41704.1796875,-400000.0625,-400000.0625,-400000.0625
135.80026292800903,-58500.33984375,-44906.33984375,-66001.7578125,-400000.0625,-41736.4609375,-400000.0625,-400000.0625,-400000.0625
135.80029845237732,-58520.8515625,-44931.12890625,-66025.546875,-400000.0625,-41751.1484375,-400000.0625,-400000.0625,-400000.0625
135.80033421516418,-58485.7109375,-44933.37109375,-66015.4375,-400000.0625,-41734.21875,-400000.0625,-400000.0625,-400000.0625
