step_index,target_name,expected_h,expected_v,detected_h,detected_v,ts_detected_h,ts_detected_v,correct,h_value_h,v_value_h,h_value_v,v_value_v,h_velocity_h,v_velocity_h,h_velocity_v,v_velocity_v,h_value_max,h_value_min,v_value_max,v_value_min,h_threshold_left,h_threshold_right,v_threshold_up,v_threshold_down
0,center,,,,,,,True,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,2.1870406660445734,1.7146736307334316,0.8789268687390475,0.6531576796840091
1,left,left,,,,,,False,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,2.1870406660445734,1.7146736307334316,0.8789268687390475,0.6531576796840091
2,center,,,,,,,True,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,2.1870406660445734,1.7146736307334316,0.8789268687390475,0.6531576796840091
3,right,right,,,,,,False,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,2.1870406660445734,1.7146736307334316,0.8789268687390475,0.6531576796840091
4,center,,,,,,,True,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,2.1870406660445734,1.7146736307334316,0.8789268687390475,0.6531576796840091
5,up,,up,,,,,False,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,2.1870406660445734,1.7146736307334316,0.8789268687390475,0.6531576796840091
6,center,,,,,,,True,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,2.1870406660445734,1.7146736307334316,0.8789268687390475,0.6531576796840091
7,down,,down,,,,,False,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,2.1870406660445734,1.7146736307334316,0.8789268687390475,0.6531576796840091
8,center,,,,,,,True,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,2.1870406660445734,1.7146736307334316,0.8789268687390475,0.6531576796840091
9,left,left,,,,,,False,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,2.1870406660445734,1.7146736307334316,0.8789268687390475,0.6531576796840091
10,right,right,,,,,,False,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,2.1870406660445734,1.7146736307334316,0.8789268687390475,0.6531576796840091
11,left,left,,,,,,False,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,2.1870406660445734,1.7146736307334316,0.8789268687390475,0.6531576796840091
12,center,,,,,,,True,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,2.1870406660445734,1.7146736307334316,0.8789268687390475,0.6531576796840091
13,up,,up,,,,,False,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,2.1870406660445734,1.7146736307334316,0.8789268687390475,0.6531576796840091
14,down,,down,,,,,False,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,2.1870406660445734,1.7146736307334316,0.8789268687390475,0.6531576796840091
15,up,,up,,,,,False,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,2.1870406660445734,1.7146736307334316,0.8789268687390475,0.6531576796840091
,,,,,,,,,,,,,,,,,,,,,,,,
,SUMMARY,6/16 (37.5%),,,,,,,,,,,,,,,,,,,,,,
,THRESHOLDS,"Left: 2.1870, Right: 1.7147","Up: 0.8789, Down: 0.6532",,,,,,,,,,,,,,,,,,,,,
