step_index,target_name,expected_h,expected_v,detected_h,detected_v,is_blink,blink_duration,correct,blink_threshold
,,,,,,,,,
,SUMMARY,0/0 (0.0%),,,,,,,
,THRESHOLDS,"Left: 1.4257, Right: 2.0609","Up: 1.3582, Down: 0.9692",,,,,,Blink: 70.0000
