step_index,target_name,expected_h,expected_v,detected_h,detected_v,is_blink,blink_duration,correct,blink_threshold
,,,,,,,,,
,SUMMARY,0/0 (0.0%),,,,,,,
,THRESHOLDS,"Left: 1.5546, Right: 2.8689","Up: 1.3381, Down: 0.9914",,,,,,Blink: 70.0000
