step_index,target_name,expected_h,expected_v,detected_h,detected_v,ts_detected_h,ts_detected_v,correct,h_value_h,v_value_h,h_value_v,v_value_v,h_velocity_h,v_velocity_h,h_velocity_v,v_velocity_v,h_value_max,h_value_min,v_value_max,v_value_min,h_threshold_left,h_threshold_right,v_threshold_up,v_threshold_down
0,center,,,,,,,True,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,2.185395540700954,2.5102261130461034,0.7261435813767646,1.1908853331686293
1,left,left,,,,,,False,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,2.185395540700954,2.5102261130461034,0.7261435813767646,1.1908853331686293
2,center,,,,,,,True,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,2.185395540700954,2.5102261130461034,0.7261435813767646,1.1908853331686293
3,right,right,,,,,,False,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,2.185395540700954,2.5102261130461034,0.7261435813767646,1.1908853331686293
4,center,,,,,,,True,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,2.185395540700954,2.5102261130461034,0.7261435813767646,1.1908853331686293
5,up,,up,,,,,False,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,2.185395540700954,2.5102261130461034,0.7261435813767646,1.1908853331686293
6,center,,,,,,,True,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,2.185395540700954,2.5102261130461034,0.7261435813767646,1.1908853331686293
7,down,,down,,,,,False,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,2.185395540700954,2.5102261130461034,0.7261435813767646,1.1908853331686293
8,center,,,,,,,True,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,2.185395540700954,2.5102261130461034,0.7261435813767646,1.1908853331686293
9,left,left,,,,,,False,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,2.185395540700954,2.5102261130461034,0.7261435813767646,1.1908853331686293
10,right,right,,,,,,False,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,2.185395540700954,2.5102261130461034,0.7261435813767646,1.1908853331686293
11,left,left,,,,,,False,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,2.185395540700954,2.5102261130461034,0.7261435813767646,1.1908853331686293
12,center,,,,,,,True,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,2.185395540700954,2.5102261130461034,0.7261435813767646,1.1908853331686293
13,up,,up,,,,,False,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,2.185395540700954,2.5102261130461034,0.7261435813767646,1.1908853331686293
14,down,,down,,,,,False,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,2.185395540700954,2.5102261130461034,0.7261435813767646,1.1908853331686293
15,up,,up,,,,,False,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,2.185395540700954,2.5102261130461034,0.7261435813767646,1.1908853331686293
,,,,,,,,,,,,,,,,,,,,,,,,
,SUMMARY,6/16 (37.5%),,,,,,,,,,,,,,,,,,,,,,
,THRESHOLDS,"Left: 2.1854, Right: 2.5102","Up: 0.7261, Down: 1.1909",,,,,,,,,,,,,,,,,,,,,
