step_index,target_name,expected_h,expected_v,detected_h,detected_v,ts_detected_h,ts_detected_v,correct,h_value_h,v_value_h,h_value_v,v_value_v,h_velocity_h,v_velocity_h,h_velocity_v,v_velocity_v,h_value_max,h_value_min,v_value_max,v_value_min,h_threshold_left,h_threshold_right,v_threshold_up,v_threshold_down
0,center,,,,,,,True,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,1.1335194636723858,1.8481238292991244,1.1367343642512588,1.442540759342102
1,left,left,,,,,,False,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,1.1335194636723858,1.8481238292991244,1.1367343642512588,1.442540759342102
2,center,,,,,,,True,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,1.1335194636723858,1.8481238292991244,1.1367343642512588,1.442540759342102
,,,,,,,,,,,,,,,,,,,,,,,,
,SUMMARY,2/3 (66.7%),,,,,,,,,,,,,,,,,,,,,,
,THRESHOLDS,"Left: 1.1335, Right: 1.8481","Up: 1.1367, Down: 1.4425",,,,,,,,,,,,,,,,,,,,,
