step_index,target_name,expected_h,expected_v,detected_h,detected_v,is_blink,blink_duration,correct,blink_threshold
,,,,,,,,,
,SUMMARY,0/0 (0.0%),,,,,,,
,THRESHOLDS,"Left: 1.3876, Right: 1.5383","Up: 0.8389, Down: 1.1321",,,,,,Blink: 3.6965
