step_index,target_name,expected_h,expected_v,detected_h,detected_v,ts_detected_h,ts_detected_v,correct,h_value_h,v_value_h,h_value_v,v_value_v,h_velocity_h,v_velocity_h,h_velocity_v,v_velocity_v,h_value_max,h_value_min,v_value_max,v_value_min,h_threshold_left,h_threshold_right,v_threshold_up,v_threshold_down
0,center,,,,,,,True,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,1.3675571912257247,1.170031503393778,0.9902338196383937,0.7773202622654334
1,left,left,,,,,,False,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,1.3675571912257247,1.170031503393778,0.9902338196383937,0.7773202622654334
2,center,,,,,,,True,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,1.3675571912257247,1.170031503393778,0.9902338196383937,0.7773202622654334
3,right,right,,,,,,False,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,1.3675571912257247,1.170031503393778,0.9902338196383937,0.7773202622654334
4,center,,,,,,,True,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,1.3675571912257247,1.170031503393778,0.9902338196383937,0.7773202622654334
5,up,,up,,,,,False,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,1.3675571912257247,1.170031503393778,0.9902338196383937,0.7773202622654334
6,center,,,,,,,True,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,1.3675571912257247,1.170031503393778,0.9902338196383937,0.7773202622654334
7,down,,down,,,,,False,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,1.3675571912257247,1.170031503393778,0.9902338196383937,0.7773202622654334
8,center,,,,,,,True,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,1.3675571912257247,1.170031503393778,0.9902338196383937,0.7773202622654334
9,left,left,,,,,,False,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,1.3675571912257247,1.170031503393778,0.9902338196383937,0.7773202622654334
10,right,right,,,,,,False,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,1.3675571912257247,1.170031503393778,0.9902338196383937,0.7773202622654334
11,left,left,,,,,,False,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,1.3675571912257247,1.170031503393778,0.9902338196383937,0.7773202622654334
12,center,,,,up,,181.80324172973633,False,0,0,-1.943889993357619,-1.2479520814138028,0,0,0.010604001459886492,0.053693158882111014,-inf,inf,-inf,inf,1.3675571912257247,1.170031503393778,0.9902338196383937,0.7773202622654334
13,up,,up,,,,,False,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,1.3675571912257247,1.170031503393778,0.9902338196383937,0.7773202622654334
14,down,,down,,,,,False,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,1.3675571912257247,1.170031503393778,0.9902338196383937,0.7773202622654334
15,up,,up,,,,,False,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,1.3675571912257247,1.170031503393778,0.9902338196383937,0.7773202622654334
,,,,,,,,,,,,,,,,,,,,,,,,
,SUMMARY,5/16 (31.2%),,,,,,,,,,,,,,,,,,,,,,
,THRESHOLDS,"Left: 1.3676, Right: 1.1700","Up: 0.9902, Down: 0.7773",,,,,,,,,,,,,,,,,,,,,
