time,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
0.0947563648223877,-4664.14013671875,-26428.509765625,-16218.0,-400000.0625,-400000.0625,-400000.0625,-400000.0625,-400000.0625
0.14099907875061035,-4655.64990234375,-26417.310546875,-16209.1298828125,-400000.0625,-400000.0625,-400000.0625,-400000.0625,-400000.0625
0.15828275680541992,-4665.7998046875,-26421.98046875,-16217.2802734375,-400000.0625,-400000.0625,-400000.0625,-400000.0625,-400000.0625
0.17410755157470703,-4681.64013671875,-26435.470703125,-16228.919921875,-400000.0625,-400000.0625,-400000.0625,-400000.0625,-400000.0625
0.18868374824523926,-4677.10986328125,-26428.939453125,-16222.48046875,-400000.0625,-400000.0625,-400000.0625,-400000.0625,-400000.0625
0.20472407341003418,-4654.64990234375,-26408.8203125,-16202.3095703125,-400000.0625,-400000.0625,-400000.0625,-400000.0625,-400000.0625
0.21945738792419434,-4639.669921875,-26403.720703125,-16196.0595703125,-400000.0625,-400000.0625,-400000.0625,-400000.0625,-400000.0625
0.23653554916381836,-4655.93017578125,-26417.970703125,-16213.1298828125,-400000.0625,-400000.0625,-400000.0625,-400000.0625,-400000.0625
0.2544381618499756,-4674.72021484375,-26432.849609375,-16227.91015625,-400000.0625,-400000.0625,-400000.0625,-400000.0625,-400000.0625
0.26799845695495605,-4672.77001953125,-26433.419921875,-16226.33984375,-400000.0625,-400000.0625,-400000.0625,-400000.0625,-400000.0625
0.2876546382904053,-4657.83984375,-26417.880859375,-16215.1396484375,-400000.0625,-400000.0625,-400000.0625,-400000.0625,-400000.0625
0.30544090270996094,-4644.25,-26412.630859375,-16208.8896484375,-400000.0625,-400000.0625,-400000.0625,-400000.0625,-400000.0625
0.3229091167449951,-4651.35986328125,-26423.7890625,-16218.6201171875,-400000.0625,-400000.0625,-400000.0625,-400000.0625,-400000.0625
0.3391284942626953,-4670.0,-26437.240234375,-16235.0703125,-400000.0625,-400000.0625,-400000.0625,-400000.0625,-400000.0625
0.35424137115478516,-4670.56982421875,-26439.240234375,-16236.4501953125,-400000.0625,-400000.0625,-400000.0625,-400000.0625,-400000.0625
0.3716919422149658,-4651.2099609375,-26418.16015625,-16214.5595703125,-400000.0625,-400000.0625,-400000.0625,-400000.0625,-400000.0625
0.38721799850463867,-4636.81005859375,-26410.439453125,-16205.83984375,-400000.0625,-400000.0625,-400000.0625,-400000.0625,-400000.0625
0.4037020206451416,-4649.16015625,-26421.029296875,-16217.1396484375,-400000.0625,-400000.0625,-400000.0625,-400000.0625,-400000.0625
0.42193174362182617,-4672.52978515625,-26437.240234375,-16234.919921875,-400000.0625,-400000.0625,-400000.0625,-400000.0625,-400000.0625
0.4506499767303467,-4672.3798828125,-26439.150390625,-16235.2099609375,-400000.0625,-400000.0625,-400000.0625,-400000.0625,-400000.0625
