step_index,target_name,expected_h,expected_v,detected_h,detected_v,ts_detected_h,ts_detected_v,correct,h_value_h,v_value_h,h_value_v,v_value_v,h_velocity_h,v_velocity_h,h_velocity_v,v_velocity_v,h_value_max,h_value_min,v_value_max,v_value_min,h_threshold_left,h_threshold_right,v_threshold_up,v_threshold_down
0,center,,,,,,,True,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,1.329945198531801,1.931701580163412,1.7362236889750167,1.7050844277931847
1,left,left,,,,,,False,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,1.329945198531801,1.931701580163412,1.7362236889750167,1.7050844277931847
2,center,,,,,,,True,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,1.329945198531801,1.931701580163412,1.7362236889750167,1.7050844277931847
3,right,right,,,,,,False,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,1.329945198531801,1.931701580163412,1.7362236889750167,1.7050844277931847
4,center,,,,,,,True,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,1.329945198531801,1.931701580163412,1.7362236889750167,1.7050844277931847
5,up,,up,,,,,False,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,1.329945198531801,1.931701580163412,1.7362236889750167,1.7050844277931847
6,center,,,,,,,True,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,1.329945198531801,1.931701580163412,1.7362236889750167,1.7050844277931847
7,down,,down,,,,,False,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,1.329945198531801,1.931701580163412,1.7362236889750167,1.7050844277931847
8,center,,,,,,,True,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,1.329945198531801,1.931701580163412,1.7362236889750167,1.7050844277931847
9,left,left,,,,,,False,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,1.329945198531801,1.931701580163412,1.7362236889750167,1.7050844277931847
10,right,right,,,,,,False,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,1.329945198531801,1.931701580163412,1.7362236889750167,1.7050844277931847
11,left,left,,,,,,False,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,1.329945198531801,1.931701580163412,1.7362236889750167,1.7050844277931847
12,center,,,,,,,True,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,1.329945198531801,1.931701580163412,1.7362236889750167,1.7050844277931847
13,up,,up,,,,,False,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,1.329945198531801,1.931701580163412,1.7362236889750167,1.7050844277931847
14,down,,down,,,,,False,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,1.329945198531801,1.931701580163412,1.7362236889750167,1.7050844277931847
15,up,,up,,,,,False,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,1.329945198531801,1.931701580163412,1.7362236889750167,1.7050844277931847
,,,,,,,,,,,,,,,,,,,,,,,,
,SUMMARY,6/16 (37.5%),,,,,,,,,,,,,,,,,,,,,,
,THRESHOLDS,"Left: 1.3299, Right: 1.9317","Up: 1.7362, Down: 1.7051",,,,,,,,,,,,,,,,,,,,,
