time,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
122.8918240070343,-400000.0625,-11174.0595703125,-3059.669921875,-400000.0625,-12484.0302734375,-400000.0625,2436.159912109375,-400000.0625
122.89840388298035,-400000.0625,-11113.0703125,-2997.110107421875,-400000.0625,-12419.3203125,-400000.0625,2499.489990234375,-400000.0625
122.90397429466248,-400000.0625,-11146.169921875,-3028.389892578125,-400000.0625,-12453.990234375,-400000.0625,2461.580078125,-400000.0625
122.9090416431427,-400000.0625,-11224.8896484375,-3112.75,-400000.0625,-12531.4296875,-400000.0625,2374.7900390625,-400000.0625
122.91483497619629,-400000.0625,-11238.669921875,-3127.3798828125,-400000.0625,-12544.7802734375,-400000.0625,2354.0,-400000.0625
122.92006492614746,-400000.0625,-11166.8095703125,-3053.6201171875,-400000.0625,-12487.75,-400000.0625,2432.300048828125,-400000.0625
122.92507863044739,-400000.0625,-11100.0595703125,-2990.47998046875,-400000.0625,-12425.8095703125,-400000.0625,2494.10009765625,-400000.0625
122.93118476867676,-400000.0625,-11137.4404296875,-3027.06005859375,-400000.0625,-12458.759765625,-400000.0625,2460.81005859375,-400000.0625
122.93698143959045,-400000.0625,-11228.0400390625,-3114.989990234375,-400000.0625,-12534.0,-400000.0625,2371.68994140625,-400000.0625
122.94207620620728,-400000.0625,-11246.009765625,-3130.8701171875,-400000.0625,-12549.4501953125,-400000.0625,2352.139892578125,-400000.0625
122.94845533370972,-400000.0625,-11170.3896484375,-3055.10009765625,-400000.0625,-12477.73046875,-400000.0625,2432.969970703125,-400000.0625
122.95325350761414,-400000.0625,-11107.2998046875,-2993.14990234375,-400000.0625,-12417.2197265625,-400000.0625,2494.3798828125,-400000.0625
122.95734477043152,-400000.0625,-11140.6298828125,-3027.25,-400000.0625,-12457.6103515625,-400000.0625,2457.2900390625,-400000.0625
122.96220350265503,-400000.0625,-11223.990234375,-3117.3701171875,-400000.0625,-12542.5400390625,-400000.0625,2373.360107421875,-400000.0625
122.96221470832825,-400000.0625,-11235.5703125,-3128.719970703125,-400000.0625,-12554.0302734375,-400000.0625,2354.0,-400000.0625
122.96221947669983,-400000.0625,-11167.91015625,-3059.43994140625,-400000.0625,-12483.5498046875,-400000.0625,2431.679931640625,-400000.0625
122.9622232913971,-400000.0625,-11115.83984375,-3000.070068359375,-400000.0625,-12422.849609375,-400000.0625,2489.85009765625,-400000.0625
122.96222734451294,-400000.0625,-11151.1201171875,-3032.969970703125,-400000.0625,-12455.419921875,-400000.0625,2454.81005859375,-400000.0625
122.96223092079163,-400000.0625,-11220.740234375,-3109.64990234375,-400000.0625,-12531.8095703125,-400000.0625,2377.699951171875,-400000.0625
122.96223497390747,-400000.0625,-11239.8203125,-3130.77001953125,-400000.0625,-12551.5,-400000.0625,2355.669921875,-400000.0625
122.96223855018616,-400000.0625,-11170.9599609375,-3058.2900390625,-400000.0625,-12478.1103515625,-400000.0625,2430.919921875,-400000.0625
122.962242603302,-400000.0625,-11109.8798828125,-2991.010009765625,-400000.0625,-12427.5703125,-400000.0625,2490.330078125,-400000.0625
122.96224665641785,-400000.0625,-11145.349609375,-3033.590087890625,-400000.0625,-12464.6201171875,-400000.0625,2454.7099609375,-400000.0625
122.96225118637085,-400000.0625,-11222.1298828125,-3116.419921875,-400000.0625,-12541.25,-400000.0625,2369.97998046875,-400000.0625
122.96225547790527,-400000.0625,-11236.7197265625,-3130.050048828125,-400000.0625,-12555.7900390625,-400000.0625,2352.949951171875,-400000.0625
122.96226024627686,-400000.0625,-11164.7099609375,-3051.22998046875,-400000.0625,-12474.400390625,-400000.0625,2434.780029296875,-400000.0625
122.96226406097412,-400000.0625,-11109.400390625,-2992.9599609375,-400000.0625,-12415.7001953125,-400000.0625,2498.8701171875,-400000.0625
122.96226787567139,-400000.0625,-11146.830078125,-3036.02001953125,-400000.0625,-12458.419921875,-400000.0625,2458.139892578125,-400000.0625
122.96227216720581,-400000.0625,-11224.8896484375,-3115.75,-400000.0625,-12539.76953125,-400000.0625,2373.60009765625,-400000.0625
122.96227645874023,-400000.0625,-11241.4404296875,-3132.580078125,-400000.0625,-12562.849609375,-400000.0625,2355.18994140625,-400000.0625
122.96228003501892,-400000.0625,-11164.669921875,-3055.570068359375,-400000.0625,-12484.599609375,-400000.0625,2434.35009765625,-400000.0625
122.96228408813477,-400000.0625,-11109.9296875,-2994.389892578125,-400000.0625,-12421.9404296875,-400000.0625,2497.050048828125,-400000.0625
122.96228766441345,-400000.0625,-11148.5,-3032.02001953125,-400000.0625,-12457.51953125,-400000.0625,2461.10009765625,-400000.0625
122.96229600906372,-400000.0625,-11224.41015625,-3112.60009765625,-400000.0625,-12538.3896484375,-400000.0625,2374.030029296875,-400000.0625
122.96230006217957,-400000.0625,-11238.0498046875,-3131.719970703125,-400000.0625,-12549.1201171875,-400000.0625,2355.14990234375,-400000.0625
122.96230363845825,-400000.0625,-11167.7197265625,-3055.81005859375,-400000.0625,-12466.48046875,-400000.0625,2431.199951171875,-400000.0625
122.96230745315552,-400000.0625,-11110.740234375,-2993.6298828125,-400000.0625,-12421.66015625,-400000.0625,2497.199951171875,-400000.0625
122.96231126785278,-400000.0625,-11150.5498046875,-3033.300048828125,-400000.0625,-12463.7099609375,-400000.0625,2459.3798828125,-400000.0625
122.96231532096863,-400000.0625,-11230.0400390625,-3114.989990234375,-400000.0625,-12543.009765625,-400000.0625,2370.169921875,-400000.0625
122.96231937408447,-400000.0625,-11241.490234375,-3129.909912109375,-400000.0625,-12556.8896484375,-400000.0625,2355.47998046875,-400000.0625
122.96232295036316,-400000.0625,-11168.2900390625,-3056.81005859375,-400000.0625,-12477.6396484375,-400000.0625,2432.780029296875,-400000.0625
122.962327003479,-400000.0625,-11115.1201171875,-2999.35009765625,-400000.0625,-12421.2802734375,-400000.0625,2493.050048828125,-400000.0625
122.96233129501343,-400000.0625,-11151.7900390625,-3038.31005859375,-400000.0625,-12461.9501953125,-400000.0625,2458.0,-400000.0625
122.96233487129211,-400000.0625,-11230.2802734375,-3119.659912109375,-400000.0625,-12537.5302734375,-400000.0625,2364.35009765625,-400000.0625
122.96233892440796,-400000.0625,-11250.58984375,-3135.6298828125,-400000.0625,-12553.3095703125,-400000.0625,2347.7099609375,-400000.0625
122.9623429775238,-400000.0625,-11171.8701171875,-3059.10009765625,-400000.0625,-12484.0302734375,-400000.0625,2428.2900390625,-400000.0625
122.96234655380249,-400000.0625,-11108.349609375,-2995.110107421875,-400000.0625,-12423.4697265625,-400000.0625,2492.139892578125,-400000.0625
122.96247053146362,-400000.0625,-11156.6103515625,-3039.4599609375,-400000.0625,-12463.4296875,-400000.0625,2451.56005859375,-400000.0625
122.96845579147339,-400000.0625,-11237.1904296875,-3121.610107421875,-400000.0625,-12541.580078125,-400000.0625,2367.929931640625,-400000.0625
122.97365212440491,-400000.0625,-11248.400390625,-3136.489990234375,-400000.0625,-12553.0302734375,-400000.0625,2350.7099609375,-400000.0625
122.97943425178528,-400000.0625,-11176.5400390625,-3062.820068359375,-400000.0625,-12487.0302734375,-400000.0625,2432.06005859375,-400000.0625
122.98455905914307,-400000.0625,-11117.1298828125,-3002.1201171875,-400000.0625,-12433.6298828125,-400000.0625,2491.050048828125,-400000.0625
122.9895031452179,-400000.0625,-11159.51953125,-3042.97998046875,-400000.0625,-12472.9599609375,-400000.0625,2454.0400390625,-400000.0625
122.98951148986816,-400000.0625,-11240.3896484375,-3127.860107421875,-400000.0625,-12548.8798828125,-400000.0625,2368.1201171875,-400000.0625
122.98951578140259,-400000.0625,-11248.919921875,-3137.780029296875,-400000.0625,-12553.41015625,-400000.0625,2352.139892578125,-400000.0625
122.98951983451843,-400000.0625,-11177.259765625,-3064.300048828125,-400000.0625,-12481.6396484375,-400000.0625,2433.969970703125,-400000.0625
122.9895236492157,-400000.0625,-11116.3203125,-2999.969970703125,-400000.0625,-12422.900390625,-400000.0625,2496.050048828125,-400000.0625
122.98952746391296,-400000.0625,-11151.26953125,-3032.969970703125,-400000.0625,-12455.7998046875,-400000.0625,2453.22998046875,-400000.0625
122.98953151702881,-400000.0625,-11235.669921875,-3122.85009765625,-400000.0625,-12545.7802734375,-400000.0625,2369.8798828125,-400000.0625
122.98953533172607,-400000.0625,-11246.58984375,-3134.300048828125,-400000.0625,-12558.599609375,-400000.0625,2355.18994140625,-400000.0625
122.98953938484192,-400000.0625,-11166.6201171875,-3057.429931640625,-400000.0625,-12483.3095703125,-400000.0625,2432.489990234375,-400000.0625
122.98954367637634,-400000.0625,-11114.9296875,-2999.5400390625,-400000.0625,-12423.759765625,-400000.0625,2497.239990234375,-400000.0625
122.98954749107361,-400000.0625,-11154.1298828125,-3038.219970703125,-400000.0625,-12463.9501953125,-400000.0625,2453.610107421875,-400000.0625
122.98955130577087,-400000.0625,-11234.240234375,-3119.330078125,-400000.0625,-12543.580078125,-400000.0625,2367.39990234375,-400000.0625
122.9895555973053,-400000.0625,-11246.9697265625,-3138.780029296875,-400000.0625,-12558.5595703125,-400000.0625,2348.949951171875,-400000.0625
122.98956036567688,-400000.0625,-11176.0595703125,-3063.06005859375,-400000.0625,-12485.5498046875,-400000.0625,2425.9599609375,-400000.0625
123.00095510482788,-400000.0625,-11120.6103515625,-3003.409912109375,-400000.0625,-12433.240234375,-400000.0625,2490.7099609375,-400000.0625
123.00608086585999,-400000.0625,-11159.23046875,-3043.1298828125,-400000.0625,-12465.6201171875,-400000.0625,2447.840087890625,-400000.0625
123.01074123382568,-400000.0625,-11233.1396484375,-3120.469970703125,-400000.0625,-12539.91015625,-400000.0625,2360.14990234375,-400000.0625
123.01074862480164,-400000.0625,-11246.58984375,-3133.35009765625,-400000.0625,-12550.4501953125,-400000.0625,2351.429931640625,-400000.0625
123.01075291633606,-400000.0625,-11175.349609375,-3054.949951171875,-400000.0625,-12470.7197265625,-400000.0625,2431.580078125,-400000.0625
123.01075673103333,-400000.0625,-11120.650390625,-2997.590087890625,-400000.0625,-12416.4599609375,-400000.0625,2493.429931640625,-400000.0625
123.01076054573059,-400000.0625,-11156.4599609375,-3040.929931640625,-400000.0625,-12463.1396484375,-400000.0625,2448.64990234375,-400000.0625
123.01076459884644,-400000.0625,-11236.0498046875,-3122.3798828125,-400000.0625,-12552.0703125,-400000.0625,2362.389892578125,-400000.0625
123.01076817512512,-400000.0625,-11250.349609375,-3137.969970703125,-400000.0625,-12562.6103515625,-400000.0625,2347.179931640625,-400000.0625
123.01077175140381,-400000.0625,-11173.1103515625,-3058.050048828125,-400000.0625,-12482.3095703125,-400000.0625,2426.050048828125,-400000.0625
123.0107753276825,-400000.0625,-11111.98046875,-2995.159912109375,-400000.0625,-12420.509765625,-400000.0625,2493.050048828125,-400000.0625
123.0107810497284,-400000.0625,-11156.3701171875,-3040.739990234375,-400000.0625,-12455.9404296875,-400000.0625,2450.510009765625,-400000.0625
123.01078486442566,-400000.0625,-11235.099609375,-3120.469970703125,-400000.0625,-12536.240234375,-400000.0625,2368.969970703125,-400000.0625
123.01078844070435,-400000.0625,-11242.009765625,-3131.2900390625,-400000.0625,-12545.8701171875,-400000.0625,2348.469970703125,-400000.0625
123.01079249382019,-400000.0625,-11173.5400390625,-3057.47998046875,-400000.0625,-12477.5400390625,-400000.0625,2431.300048828125,-400000.0625
123.0107958316803,-400000.0625,-11113.7900390625,-2998.8798828125,-400000.0625,-12428.669921875,-400000.0625,2497.239990234375,-400000.0625
123.06106948852539,-400000.0625,-11151.26953125,-3037.639892578125,-400000.0625,-12464.91015625,-400000.0625,2453.610107421875,-400000.0625
123.0708339214325,-400000.0625,-11233.9501953125,-3119.52001953125,-400000.0625,-12545.2998046875,-400000.0625,2362.43994140625,-400000.0625
123.07564043998718,-400000.0625,-11249.7802734375,-3138.260009765625,-400000.0625,-12558.990234375,-400000.0625,2352.669921875,-400000.0625
123.07564878463745,-400000.0625,-11174.6796875,-3059.239990234375,-400000.0625,-12488.080078125,-400000.0625,2430.489990234375,-400000.0625
123.07565307617188,-400000.0625,-11115.41015625,-2996.639892578125,-400000.0625,-12425.2802734375,-400000.0625,2490.89990234375,-400000.0625
123.0756573677063,-400000.0625,-11151.599609375,-3034.39990234375,-400000.0625,-12455.080078125,-400000.0625,2449.469970703125,-400000.0625
123.07566118240356,-400000.0625,-11231.9501953125,-3118.800048828125,-400000.0625,-12542.150390625,-400000.0625,2367.449951171875,-400000.0625
123.07566499710083,-400000.0625,-11246.8701171875,-3132.919921875,-400000.0625,-12557.599609375,-400000.0625,2357.389892578125,-400000.0625
123.07566928863525,-400000.0625,-11166.5703125,-3052.570068359375,-400000.0625,-12477.830078125,-400000.0625,2434.72998046875,-400000.0625
123.07567286491394,-400000.0625,-11105.7802734375,-2992.9599609375,-400000.0625,-12420.849609375,-400000.0625,2496.860107421875,-400000.0625
123.07567691802979,-400000.0625,-11147.1201171875,-3034.8798828125,-400000.0625,-12459.3701171875,-400000.0625,2458.52001953125,-400000.0625
123.07568168640137,-400000.0625,-11225.650390625,-3116.080078125,-400000.0625,-12539.009765625,-400000.0625,2376.800048828125,-400000.0625
